Symbol,Name
NXB,Nextboat Inc
PHXE PR,Phoenix Energy One Cumulative Redeemable Prf Shs Series A
XTNT,Xtant Medical Holdings Inc
GGN PR B,GAMCO Global Gold Natural Resources and Income 5.00% Cumulative Pref Shs Series
SACH,Sachem Capital Corp
ROLR,High Roller Technologies Inc
DDC,DDC Enterprise Ltd
APT,Alpha Pro Tech Ltd
IBO,Impact Biomedical Inc
BDL,Flanigan's Enterprises Inc
FSP,Franklin Street Properties Corp
AGIG,Abundia Global Impact Group  Inc
NBY,NovaBay Pharmaceuticals Inc
VIDA,Vida Global Inc
BRIA,BrilliA Inc
SACH PR A,Sachem Capital 7 75 Cumulative Redeemable Pref Shs Series A
MGLD,Marygold Companies Inc
BCHT,Birchtech Corp
LGL,LGL Group Inc
INDO,Indonesia Energy Corp Ltd
AXIL,AXIL Brands Inc
MYO,Myomo Inc
JAGU,Jaguar Uranium Corp
BHM,Bluerock Homes Trust Inc
TOON,Kartoon Studios Inc
GNS,Genius Group Ltd
ZDGE,Zedge Inc
NSRX,Nasus Pharma Ltd
GRF,Eagle Capital Growth Fund
ATNM,Actinium Pharmaceuticals Inc
TOPP,Toppoint Holdings Inc
NNVC,NanoViricides  Inc
LSF,Laird Superfood Inc
BATL,Battalion Oil Corp
FCO,abrdn Global Income Mutual Fund
ATCH,Atlasclear Holdings Inc
NTIP,Network-1 Technologies Inc
MLSS,Milestone Scientific Inc
BURU,NUBURU Inc
PCG PR D,Pacific Gas and Electric 5% 1st Redeemable Pref Shs
SDEV,Stablecoin Development Corp
CPHI,China Pharma Holdings Inc
EONR,EON Resources Inc
IGC,IGC Pharma Inc
CCEL,Cryo-Cell International Inc
COHN,Cohen & Company Inc
INLX,Intellinetics Inc
PAPL,Pineapple Financial Inc
SER,Serina Therapeutics Inc
MPU,Mega Matrix Inc
JOB,GEE Group Inc
GLU PR B,The Gabelli Global Utility Income Cumulative Pref Shs Series B
ACCS,ACCESS Newswire Inc
BESS,Bimergen Energy Corp
